Band Name,Dates,Tour Citites,"Actual Venues, Size, Genre","Algorithm-determined venues, Size, Genre"
Abandoned by Bears,18-Oct-18,"Pittsburgh, PA","['Foxtail', ['', '']]","['Club Café', [0.67, 20689.2], [8, 8, 1, 8], ""McGarvey's Bar"", [0.57, 8882.0], [1]]"
Abandoned by Bears,16-Oct-18,"Syracuse, NY","['Spark Contemporary Art Space', ['', '']]",[]
Great Grandpa,12-Mar-20,"San Francisco, CA","['Rickshaw Stop', ['', '']]",[]
Great Grandpa,16-Nov-19,"Seattle, WA","['Chop Suey', ['', '']]",[]
Great Grandpa,6-Nov-19,"Somerville, MA","['ONCE Ballroom', ['14467.0', [8]]]","['The Center for the Arts in Natick (TCAN)', [0.97, 28481.666666666668], [9, 9, 1], 'The Spire Center for Performing Arts', [0.52, 14270.0], [1], 'ONCE Ballroom', [0.52, 14467.0], [8]]"
Great Grandpa,5-Nov-19,"Brooklyn, NY","['Zone One, Elsewhere', ['', '']]","['Mercury Lounge', [0.65, 18022.5], [3, 8]]"
Great Grandpa,4-Nov-19,"Philadelphia, PA","['Everybody Hits', ['', '']]","['Milkboy Philly', [0.44, 12203.5], [[8, 8], [8, 8]], 'Kung Fu Necktie', [0.95, 26336.0], [8]]"
Great Grandpa,3-Nov-19,"Washington DC, US","['Songbyrd - Upstairs', ['', '']]","['DC9 Nightclub', [0.52, 14467.0], [8], ""Smithsonian's National Zoo"", [0.51, 14060.0], [8]]"
Great Grandpa,25-Oct-19,"San Francisco, CA","['The Chapel - Outdoor Stage', [14544.0, []]]",[]
Great Grandpa,20-Oct-19,"Hollywood, CA","['Fonda Theatre', ['', '']]",[]
Great Grandpa,19-Oct-19,"Santa Ana, CA","['The Observatory', ['', '']]",[]
Great Grandpa,6-Oct-19,"San Diego, CA","['The Casbah', [10475.0, [6]]]",[]
Junglepussy,28-Oct-18,"Cambridge, MA","['The Middle East - Downstairs', [126586.0, [1]]]","['The Middle East - Downstairs', [0.97, 126586.0], [1]]"
Junglepussy,20-Oct-18,"Brooklyn, NY","['Elsewhere', ['', '']]","['Bowery Ballroom', [0.52, 192865.5], [1, 5]]"
Junglepussy,18-Oct-18,"Washington DC, US","['Songbyrd Music House', [0.0, []]]",[]
Junglepussy,17-Oct-18,"Philadelphia, PA","['The Foundry', ['', '']]","['Underground Arts', [0.97, 126586.0], [1]]"
Junglepussy,14-Oct-18,"Detroit, MI","['Magic Stick', ['', '']]","[""The Shelter, St. Andrew's Hall"", [0.84, 110275.0], [8, 1]]"
Junglepussy,13-Oct-19,"Chicago, IL","['Chop Shop', ['', '']]","['The Afterlife Music Hall', [0.56, 73310.5], [1], 'Bourbon On Division', [0.93, 121469.0], [1]]"
Junglepussy,11-Oct-18,"Minneapolis, MN","['Loring Bar & Restaurant', ['', '']]",[]
Junglepussy,4-Oct-18,"Portland, OR","['Star Theater', [13823.75, [0, 5]]]","['Ponderosa Lounge & Grill', [0.41, 208218.0], [4]]"
Junglepussy,3-Oct-18,"San Francisco, CA","['Slim’s', ['', '']]","['HopMonk Tavern - Novato', [0.79, 157684.0], [4]]"
Junglepussy,2-Oct-18,"Los Angeles, CA","['The Echo', ['', '']]",[]
KAMAUU,2-Apr-20,"Brooklyn, NY","['BRIC Arts Media House', ['', '']]",[]
KAMAUU,25-Feb-20,"Los Angeles, CA","['Moroccan Lounge', ['', '']]","['Largo at the Coronet', [0.42, 19100.0], [3]]"
KAMAUU,24-Feb-20,"Brooklyn, NY","['Baby’s All Right', ['', '']]",[]
KAMAUU,19-Feb-20,"Chicago, IL","['Schubas Tavern', ['', '']]",[]
KAMAUU,10-Dec-19,"New York, NY","['SOB’s', ['', '']]",[]
KAMAUU,29-Nov-19,"Detroit, MI","['El Club', [70643.0, [8]]]","['The Token Lounge', [0.89, 40105.142857142855], [[1, 6, 1, 6], [1, 6, 1, 6]], 'Hot Rock', [0.9, 40760.666666666664], [3]]"
KAMAUU,26-Oct-19,"Millvale, PA","['Mr. Small’s Theatre', ['', '']]","['Club Café', [0.46, 20689.2], [8, 8, 1, 8], 'Vinoski Winery', [0.88, 50399.333333333336], [0, 9, 1], 'Hard Rock Café - Pittsburgh', [0.66, 29948.0], [1]]"
KAMAUU,23-Oct-19,"Cleveland, OH","['Beachland Ballroom', [28084.866666666665, [8, 8, 7, 9, 8, 2, 6, 1]]]","['Beachland Ballroom', [0.62, 28084.866666666665], [8, 8, 7, 9, 8, 2, 6, 1]]"
KAMAUU,21-Oct-19,"Brooklyn, NY","['Music Hall of Williamsburg', [58136.0, [8]]]",[]
KAMAUU,20-Oct-19,"Baltimore, MD","['Baltimore Soundstage', [8952.2, [2]]]","['Ottobar', [0.65, 60930.666666666664], [[1, 8, 1], [1, 8, 1]]]"
