Band Name,Dates,Tour Citites,Actual Venues,Algorithm-determined venues
Cayetana,"Oct 3, 2017","Jacksonville, FL",Nighthawks (Archetype),"['St. Augustine Amphitheatre', 'Evangel Temple Assembly of God', ""Knockin' Boots Saloon"", 'Murray Hill Theatre', 'Heartwood Sound Stage', 'Jack Rabbits', 'Blackadder Brewing Co', 'Ponte Vedra Concert Hall', 'The Loft', 'Heartwood Sound Stage', ""Knockin' Boots""]"
Charly Bliss,"Dec 12, 2020","Columbus, OH",Rumba Café,"['Woodlands Tavern', 'Ace of Cups', 'Newport Music Hall', 'Rumba Café', 'The Summit', 'Midland Theatre', 'Woodlands Tavern', 'King of clubs', 'Midway on High', 'Ace of Cups']"
Charly Bliss,"Dec 28, 2019","Chicago, IL",Lincoln Hall,"[""FitzGerald's"", 'WC Social Club', 'Wintrust Arena', 'Harris Theater for Music and Dance', 'Hey Nonny Live Music + Local Kitchen', 'The Chicago Theatre', 'City Winery', 'Brauer House', 'Prysm Nightclub', 'Subterranean', 'Golden Dagger', 'The Space', 'Harris Theater for Music and Dance', 'Hey Nonny Live Music + Local Kitchen']"
Charly Bliss,"Nov 14, 2019","Philadelphia, PA",The Foundry,"[""Johnny Brenda's"", ""Penn's Peak"", 'Atlantic City Convention Center', 'Sound Waves at Hard Rock Hotel & Casino Atlantic City', 'Musikfest Cafe presented by Yuengling', 'Makumba', 'Borgata Event Center', 'Union Transfer', 'The Philadelphia Suzuki Piano Academy', 'Milkboy Philly', 'World Café Live', 'Kung Fu Necktie', 'The Fillmore Philadelphia', 'Musikfest Cafe presented by Yuengling', 'Levitt Pavilion SteelStacks', 'Kung Fu Necktie']"
Charly Bliss,"Nov 13, 2019","New York, NY",Webster Hall,"['City Winery', 'Bowery Ballroom', 'Manhattan Center Hammerstein Ballroom', 'Rockwood Music Hall Stage 2', 'Le Poisson Rouge', 'The Vogel, Count Basie Center for the Arts', 'Mercury Lounge', 'Mercury Lounge', 'Rough Trade NYC']"
Charly Bliss,"Oct 5, 2019","Eugene, OR",WOW Hall,"['Matthew Knight Arena', 'Tower Theatre', 'McDonald Theatre', 'Les Schwab Amphitheater', 'Camp Tadmor', 'Elsinore Theatre', 'Cuthbert Amphitheater', 'Camp Tadmor', 'Domino Room']"
Charly Bliss,"Oct 3, 2019","Sacramento, CA",Holy Driver,"['Golden 1 Center', 'Quarry Park Amphitheater', 'Sacramento Memorial Auditorium', 'Redding Civic Auditorium', 'Crest Theatre', ""Harlow's"", 'Unknown venue', 'Big Room, Sierra Nevada Brewing Co.', 'Holy Diver', 'Sycamore Ranch']"
Charly Bliss,"Oct 2, 2019","Fresno, CA",Strummer’s,"['Vina Robles Amphitheatre', 'Selland Arena', 'Save Mart Center', 'William Saroyan Theatre Fresno Convention & Entertainment Center', 'BarrelHouse Brewing Co. - Paso Robles']"
Charly Bliss,"Oct 1, 2019","San Luis Obispo, CA",SLO Brew Rock,"['World Records', 'Fox Theater', 'Mechanics Bank Theater', 'Chumash Casino Resort', 'Mechanics Bank Arena (formerly Rabobank Arena)', 'Unknown venue', 'Unknown venue']"
Charly Bliss,"Sept 21, 2019","Lincoln, NE",Lincoln Calling,"['Royal Grove', 'Pinewood Bowl Theater', ""Cappy's Hotspot Bar & Grill"", 'Bourbon Theatre', 'Art & Soul', 'Kinkaider Brewing Co. - Lincoln', '1867 Bar', 'The Royal Groove', 'Unknown venue']"
Charly Bliss,"Sept 20, 2019","Iowa City, IA",Gabe’s Oasis,"['Vaudeville Mews', ""Lefty's Live Music"", ""Wooly's"", 'Wildwood Smokehouse & Saloon', 'Paramount Theatre', 'Wells Fargo Arena', 'Elrays Live & Dive', 'Vaudeville Mews']"
